S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
42,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Chakajagannathpur,280990,Chakajaganathapur,393888,393888,Chakajaganathapur,1405,331,239,835,358,358,0,
42,Odisha,24,BALESWAR,344,JALESWAR,3706,OLMARA,119278,OLMARA,695050,,0,0,,2803,181,148,2474,532,0,0,Villages taken from SBM
43,Odisha,24,BALESWAR,344,JALESWAR,3706,PAIKASIDA,119279,BALIKBAD,695103,,0,0,,582,336,0,246,188,0,0,Villages taken from SBM
43,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Chandinipur,280993,Chandanipur,393887,393887,Chandanipur,218,29,0,189,66,51,0,
44,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Kamal Patna Sasan,660776,Bishnuchak,393853,393861,Kamalapatanasasan,478,13,12,453,143,135,0,
44,Odisha,24,BALESWAR,344,JALESWAR,3706,R.R.PUR,119283,KISAMATGOBARDHANPUR,700410,,0,0,,0,0,0,0,68,0,0,Villages taken from SBM
45,Odisha,24,BALESWAR,344,KHAIRA,3710,ACHUTIPUR,119349,MIRJAPUR,696522,,0,0,,380,0,103,277,39,0,0,Villages taken from SBM
45,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Nachinta,281076,Nachinta,393893,393893,Nachinta,431,22,0,409,118,115,0,
46,Odisha,24,Balasore,344,Bahanaga,3707,Chakajagannathpur,119295,Uparapatna,280991,Uparapatna,393891,393891,Uparapatna,150,8,49,93,39,37,0,
46,Odisha,24,BALESWAR,344,KHAIRA,3710,ACHUTIPUR,119349,NUASAHI,696913,,0,0,,0,0,0,0,28,0,0,Villages taken from SBM
47,Odisha,24,BALESWAR,344,KHAIRA,3710,DALANGA-II,298772,KHAIRADIHI,700411,,0,0,,293,182,0,111,55,0,0,Villages taken from SBM
47,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Baliktiran,280999,Baliktiran,394025,394025,Baliktiran,773,4,0,769,83,83,0,
48,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Bankeswar Pur,281002,Bankeswarpur,394029,394029,Bankeswarpur,313,0,0,313,81,81,0,
48,Odisha,24,BALESWAR,344,KHAIRA,3710,DUNGURA,119356,RAGHUNATHPUR - A,696911,,0,0,,101,17,0,84,350,0,0,Villages taken from SBM
49,Odisha,24,BALESWAR,344,KHAIRA,3710,MAHATIPUR,119368,MAHATIPUR,696912,,0,0,,182,0,0,182,137,0,0,Villages taken from SBM
49,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Chhatubati,280996,Chhatubati,394024,394024,Chhatubati,350,0,0,350,95,95,0,
50,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Chittol,280998,Chittol,394017,394017,Chittol,1965,162,4,1799,532,529,0,
50,Odisha,24,BALESWAR,344,KHAIRA,3710,MANATRI,119370,SALLOMADHAPUR,698830,,0,0,,698,0,136,562,175,0,0,Villages taken from SBM
51,Odisha,24,BALESWAR,344,NILGIRI,3711,BERHAMPUR,119382,BHOGADIA,696526,,0,0,,0,0,0,0,194,0,0,Villages taken from SBM
51,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Dhiapahi,281000,Dianpahi,394026,394026,Dianpahi,189,0,0,189,41,41,0,
52,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Fatepur,281001,Fatepur,394016,394016,Fatepur,144,0,0,144,30,30,0,
52,Odisha,24,BALESWAR,344,NILGIRI,3711,NARANPUR,119396,BADANUAGAN,697597,,0,0,,963,439,0,524,26,0,0,Villages taken from SBM
53,Odisha,24,BALESWAR,344,NILGIRI,3711,TENTULIA,119403,BHOGDIA,700413,,0,0,,0,0,0,0,122,0,0,Villages taken from SBM
53,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Palasahi,280997,Palasahi,394028,394028,Palasahi,79,0,0,79,17,17,0,
54,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Patimunda,281003,Patimunda,394027,394027,Patimunda,531,0,0,531,152,152,0,
54,Odisha,24,BALESWAR,344,OUPADA,3712,R.R. PUR,119412,KHUNTADIHAPATNA,697598,,0,0,,0,0,0,0,51,0,0,Villages taken from SBM
55,Odisha,24,BALESWAR,344,REMUNA,3702,BADAPAL,119153,MOHANTIPADA,697572,,0,0,,0,0,0,0,73,0,0,Villages taken from SBM
55,Odisha,24,Balasore,344,Bahanaga,3707,Chittol,119296,Podadiha,280995,Podadiha,394023,394023,Podadiha,1417,297,0,1120,366,337,0,
56,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Aruha,281010,Aruha,393820,393820,Aruha,1117,59,8,1050,301,301,0,
56,Odisha,24,BALESWAR,344,REMUNA,3702,GANDARDA,298758,PATKASASAN,697977,,0,0,,193,0,0,193,51,0,0,Villages taken from SBM
57,Odisha,24,BALESWAR,344,REMUNA,3702,GANIPUR,119158,JAGANNATHPUR,697974,,0,0,,322,30,33,259,138,0,0,Villages taken from SBM
57,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Asimila,281011,Asimila,393819,393819,Asimila,1664,681,8,975,416,407,0,
58,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Dandadharipur,281008,Dandaharipur,393810,393810,Dandaharipur,1091,841,0,250,356,356,0,
58,Odisha,24,BALESWAR,344,REMUNA,3702,KALYAPUR,119162,PARIBELDA,696528,,0,0,,9,0,0,9,15,0,0,Villages taken from SBM
59,Odisha,24,BALESWAR,344,REMUNA,3702,KHARID MUKHURA,119163,CHANKHANPUR,697975,,0,0,,0,0,0,0,35,0,0,Villages taken from SBM
59,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Gandasthapur,281009,Gandasthapur,393821,393821,Gandasthapur,1454,79,33,1342,396,387,0,
