S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
50,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Chitanguru,316917,Chitanguru,430693,923645,CHITANGARU,88,0,88,0,23,23,0,
51,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Dandalgundhi,625204,Dandalagundhi,430746,923631,DANDALGANDHI,5,0,4,1,2,0,0,
52,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Dankataru,316911,Donkataru,430699,923634,DANKATARU,50,0,50,0,12,12,0,
53,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Dholimamidi,316884,Dolimamudi,430744,923647,DHULIPUT,252,0,250,2,51,0,0,
54,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Gunamba,316910,Gunamba,430700,923641,GUNAMBO,88,0,88,0,25,6,0,
55,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Iskabandha,316885,Iskabandha,430747,923630,ESKABANDHA,28,0,23,5,4,0,0,
56,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Jumdama,316918,Jumdama,430692,923646,JUMDANG,173,0,172,1,39,0,0,
57,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Kotauru.,316915,Kotauru,430695,923643,KATAWARI,81,0,81,0,17,17,0,
58,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,KUTEDURBANDHA,316916,Kutedurubandha,430694,923640,KOTEDURBANDHA,63,0,63,0,13,13,0,
59,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Limatang,316913,Limatang,430697,923644,LIMATANG,163,0,163,0,39,0,39,
60,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Luharam,316950,Luharam,430705,923628,LUHARAM,42,0,40,2,5,5,0,
61,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Mandapalli,316914,Mandapali,430696,923642,MANDAPALLI,77,0,77,0,14,14,0,
62,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Singabharam,316906,Singavaram,430701,430701,Singavaram,141,0,141,0,32,22,0,
63,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,SUNAGOI,316887,Sunagoi,430748,923639,SUANMGOI,254,1,253,0,55,0,0,
64,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,SURUBANDHA,316886,Surubandha,430745,923629,SERUBANDHA,64,0,63,1,12,12,0,
65,Odisha,24,Malkangiri,369,Chitrakonda,3944,Dhuliput,298171,Tamarpalli,316907,Tamerpalli,430704,923636,TAMRAPALLI,60,0,60,0,14,0,0,
66,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DHULIPUT,298171,TELAL,316909,Telal,430702,923637,TALAL,38,0,38,0,5,5,0,
67,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Badput,317367,Badput,430647,430633,Badaput,588,30,551,7,142,83,0,
68,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Bisoiguda,317373,Bisoiguda,430630,430630,Bisoiguda,60,26,3,31,12,11,0,
69,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Doraguda,317362,Doraguda,430636,430805,Doraguda,787,20,765,2,204,7,0,
70,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DORAGUDA,124201,GADAGURAI,317357,Gadagurai,430660,430660,Gadagurai,146,0,146,0,35,35,0,
71,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Kamarguda,317360,Kamarguda -II,430634,430634,Kamarguda -II,403,14,347,42,93,78,0,
